"","state_abbreviation","county","income","hispanic","white","college","density","female"
"801","IA","Butler ",52026,1.1,97.1,15,25.6,50.5
"802","IA","Calhoun ",44484,2,94.6,19.1,17,48.6
"803","IA","Carroll ",48361,2.3,95.5,18.8,36.6,51.4
"804","IA","Cass ",43481,2.4,95.7,19,24.7,50.7
"805","IA","Cedar ",58088,1.8,95.9,19.5,31.9,50.5
"806","IA","Cerro Gordo ",44795,4.3,91.6,21,77.7,51
"807","IA","Cherokee ",48977,3.2,94.2,19.6,20.9,50.4
"808","IA","Chickasaw ",43971,2.3,96.2,13.8,24.7,50
"809","IA","Clarke ",43216,12.1,85.2,14.3,21.5,49.8
"810","IA","Clay ",49035,3.2,94.3,18.4,29.4,50.9
"811","IA","Clayton ",47494,1.9,96.2,15.5,23.3,49.7
"812","IA","Clinton ",49559,2.9,91.5,17.7,70.7,50.9
"813","IA","Crawford ",46548,27.3,68.5,14.7,23.9,49
"814","IA","Dallas ",73847,6.3,87,43.6,112.4,51
"815","IA","Davis ",45040,1.2,97.2,16.4,17.4,50.6
"816","IA","Decatur ",36326,2.6,93,18.4,15.9,49.8
"817","IA","Delaware ",54076,1.1,97.4,15.5,30.7,50
"818","IA","Des Moines ",42451,2.9,88,18.9,96.9,50.9
"819","IA","Dickinson ",56136,1.7,96.4,25.4,43.8,50.2
"820","IA","Dubuque ",51475,2.2,91.9,27.1,154,50.6
"821","IA","Emmet ",48601,10.4,86.9,15.3,26,49.3
"822","IA","Fayette ",45542,2.2,94.6,18.4,28.6,49.9
"823","IA","Floyd ",43826,2.3,93.1,15.9,32.6,50.9
"824","IA","Franklin ",48355,11.8,86.2,15.1,18.4,49.8
"825","IA","Fremont ",50520,2.6,95.3,20.5,14.6,50.6
"826","IA","Greene ",45865,2.9,94.8,17.4,16.4,51.1
"827","IA","Grundy ",56827,1.2,97.1,20.7,24.8,50.9
"828","IA","Guthrie ",50609,2.3,95.8,17.1,18.5,50.2
"829","IA","Hamilton ",43589,5.4,90.6,18,27.2,50.7
"830","IA","Hancock ",50105,3.5,94.1,16.6,19.9,49.8
"831","IA","Hardin ",49342,4.1,92.6,19.7,30.8,50
"832","IA","Harrison ",54583,1.4,96.7,17.7,21.4,50.3
"833","IA","Henry ",46376,4.7,88.2,20,46.4,48.8
"834","IA","Howard ",46429,1.4,96.5,11.6,20.2,50.2
"835","IA","Humboldt ",47897,4,94.1,18.2,22.6,51
"836","IA","Ida ",43449,2,95.8,19.6,16.4,50.1
"837","IA","Iowa ",58008,2.5,95.7,21,27.9,50.5
"838","IA","Jackson ",46467,1.3,95.8,14.5,31.2,50.3
"839","IA","Jasper ",50513,1.9,94.3,17.8,50.4,49
"840","IA","Jefferson ",48814,2.9,83.1,31.2,38.7,46.1
"841","IA","Johnson ",53424,5.5,80.6,51.1,213.1,50.2
"842","IA","Jones ",55041,1.6,94.7,17.2,35.9,48.1
"843","IA","Keokuk ",42167,1.6,96.8,13.4,18.1,49.8
"844","IA","Kossuth ",51812,2,96.1,18.3,16,49.8
"845","IA","Lee ",42469,3.4,91,15.8,69.3,50.1
"846","IA","Linn ",57260,2.9,88.1,31.2,294.6,50.6
"847","IA","Louisa ",50583,16.2,79.8,13.5,28.3,49.3
"848","IA","Lucas ",43288,1.3,97.3,11.3,20.7,49.6
"849","IA","Lyon ",52152,2.7,95.9,17.6,19.7,49.8
"850","IA","Madison ",57581,1.5,96.4,21.5,27.9,50.2
"851","IA","Mahaska ",47967,1.9,94.3,21.5,39.2,49.6
"852","IA","Marion ",54723,1.9,94.7,25,60.1,50.1
"853","IA","Marshall ",51555,19.9,73.9,19.3,71,49.5
"854","IA","Mills ",63076,2.6,94.5,24,34.4,49.9
"855","IA","Mitchell ",51078,1.2,97.2,15.7,23,50.5
"856","IA","Monona ",42025,2,95.2,14.3,13.3,50.6
"857","IA","Monroe ",45997,2.4,95.2,19.3,18.4,49.8
"858","IA","Montgomery ",44281,3.5,94.5,15.1,25.3,51.1
"859","IA","Muscatine ",51425,17.2,78.5,16.2,97.7,50.2
"860","IA","O'Brien ",48185,4.5,93.3,18.9,25.1,49.8
"861","IA","Osceola ",48659,6.8,91.3,15.6,16.2,49.4
"862","IA","Page ",43010,2.9,91.7,17.4,29.8,47.8
"863","IA","Palo Alto ",44663,2.1,95.2,16.5,16.7,50.3
"864","IA","Plymouth ",58888,4.1,93.6,20.9,29,50.3
"865","IA","Pocahontas ",44073,3.4,94,17.8,12.7,50.2
"866","IA","Polk ",59018,8,79.2,34.9,750.5,50.8
"867","IA","Pottawattamie ",51304,7.2,88.7,19.1,98,50.9
"868","IA","Poweshiek ",50349,3,92.2,24.1,32.3,51.1
"869","IA","Ringgold ",44551,2,96.4,17.6,9.6,50.8
"870","IA","Sac ",48093,2.8,95.7,19.1,18,50.9
"871","IA","Scott ",52735,6.3,81.3,31.6,360.7,51
"872","IA","Shelby ",48783,2.3,95.6,18.2,20.6,50.8
"873","IA","Sioux ",57227,9.8,87.9,23.4,43.9,49.8
"874","IA","Story ",50516,3.1,85.5,47.7,156.3,48.1
"875","IA","Tama ",51670,8.4,82.7,16.1,24.6,50.9
"876","IA","Taylor ",43804,7.5,91,13.8,11.9,49.3
"877","IA","Union ",44838,2.8,94.6,16.5,29.6,51.3
"878","IA","Van Buren ",43181,1.3,96.9,14.4,15.6,49.2
"879","IA","Wapello ",41425,10,85.4,16.2,82.5,50.6
"880","IA","Warren ",62535,2.5,94.9,26.7,81.1,50.8
"881","IA","Washington ",54554,5.6,91.7,20.8,38.2,50.8
"882","IA","Wayne ",40024,1.7,96.2,14.1,12.2,51.6
"883","IA","Webster ",41624,4.3,88.8,19.2,53.1,48.2
"884","IA","Winnebago ",45603,3.9,92.5,18.6,27.1,51.4
"885","IA","Winneshiek ",53122,2.1,95.2,26.5,30.5,50.5
"886","IA","Woodbury ",45856,15.2,75.7,20.3,117.1,50.5
"887","IA","Worth ",50476,2.7,95,16.3,19,50.2
"888","IA","Wright ",45205,10.2,87.7,16,22.8,49.6
"889","KS","Allen ",40554,3.3,91.1,16.1,26.7,51.1
"890","KS","Anderson ",41713,1.7,94.7,19,14,50.6
"891","KS","Atchison ",45212,2.9,88.3,21.6,39.3,51.3
"892","KS","Barber ",45920,3.6,93.2,19.8,4.3,48.8
"893","KS","Barton ",44981,14.3,82.2,18.3,30.9,50.5
"894","KS","Bourbon ",39591,2.3,90.7,22,23.9,50.6
"895","KS","Brown ",39968,3.8,83.7,18.2,17.5,51.2
"896","KS","Butler ",56454,4.5,89.8,26.7,46.1,49.8
"897","KS","Chase ",36815,4,92.3,23.6,3.6,49.6
"898","KS","Chautauqua ",39529,3,87,16.3,5.7,48.3
"899","KS","Cherokee ",39746,2.3,88.6,14.9,36.8,50.4
"900","KS","Cheyenne ",37875,7.1,90.5,21.7,2.7,50.8
"901","KS","Clark ",41129,9.8,84.2,26.2,2.3,51
"902","KS","Clay ",45233,2.6,94.7,20.7,13.2,50.3
"903","KS","Cloud ",38534,3.5,93.1,16.6,13.3,50.8
"904","KS","Coffey ",51793,2.8,93.8,19.9,13.7,50.3
"905","KS","Comanche ",39375,5,92.5,23.9,2.4,51.1
"906","KS","Cowley ",41878,10.2,80.5,20,32.3,49.9
"907","KS","Crawford ",37378,5.1,87.7,27.2,66.4,49.9
"908","KS","Decatur ",39333,2,95,19.9,3.3,49.4
"909","KS","Dickinson ",48890,4.5,91.6,18.5,23.3,50.1
"910","KS","Doniphan ",46512,2.8,89.9,17.5,20.2,49.4
"911","KS","Douglas ",49508,5.8,79.7,49.6,243.1,50.1
"912","KS","Edwards ",46551,19.7,77.9,22.3,4.9,50.3
"913","KS","Elk ",34089,3.8,91,18,4.5,50.4
"914","KS","Ellis ",43085,5.7,90.3,32.3,31.6,49.7
"915","KS","Ellsworth ",45865,5.9,86.5,20.8,9.1,42.8
"916","KS","Finney ",47945,48.2,43.7,17.9,28.2,49
"917","KS","Ford ",51178,52.9,41.5,16.7,30.8,48.3
"918","KS","Franklin ",49543,3.9,91.4,20.2,45.5,50.3
"919","KS","Geary ",46908,15,58.1,20.8,89.3,46.8
"920","KS","Gove ",44866,2.7,95.6,20.3,2.5,49
"921","KS","Graham ",47500,3.2,88.5,22.9,2.9,50.4
"922","KS","Grant ",53213,46.4,51.4,17.8,13.6,49.1
"923","KS","Gray ",57808,14.2,83.9,20.2,6.9,50.2
"924","KS","Greeley ",52847,17.6,80.4,21.9,1.6,50.9
"925","KS","Greenwood ",38346,4,92,16.5,5.9,50.2
"926","KS","Hamilton ",43357,33.7,63.3,12.6,2.7,48.6
"927","KS","Harper ",38313,7.1,89.8,16.9,7.5,49.6
"928","KS","Harvey ",50287,11.5,83.6,26.3,64.3,50.9
"929","KS","Haskell ",52415,28.8,68.5,17.7,7.4,50.2
"930","KS","Hodgeman ",52375,6.5,90.5,22.6,2.2,50.6
"931","KS","Jackson ",54546,4.7,84,17.7,20.5,49.5
"932","KS","Jefferson ",56875,2.6,93.8,21.3,35.9,49.4
"933","KS","Jewell ",39884,2.4,95.4,14.7,3.4,48.8
"934","KS","Johnson ",74717,7.4,80.7,51.7,1149.6,51
"935","KS","Kearny ",52264,29.7,66.7,17.2,4.6,49.7
"936","KS","Kingman ",47466,3.1,93.9,19.3,9.1,49.8
"937","KS","Kiowa ",44650,6.5,89.8,20,3.5,50.3
"938","KS","Labette ",40916,4.4,85.1,20.4,33.5,50.5
"939","KS","Lane ",53021,6.4,89.9,22.7,2.4,50.3
"940","KS","Leavenworth ",63435,6.9,79.2,28.7,164.7,46.7
"941","KS","Lincoln ",40811,2.4,95.1,19.7,4.5,50
"942","KS","Linn ",45519,2.3,94.1,14.2,16.3,50.5
"943","KS","Logan ",41765,4.9,90.6,15.6,2.6,49.2
"944","KS","Lyon ",38981,20.7,72,24.1,39.8,51.1
"945","KS","McPherson ",54167,3.8,92.2,25.7,32.5,50.7
"946","KS","Marion ",45830,3.2,93.3,20.8,13.4,50
"947","KS","Marshall ",44032,2.3,94.9,15,11.2,50.1
"948","KS","Meade ",51000,16.9,79.4,23.8,4.7,49
"949","KS","Miami ",58936,3.1,93,23.9,57,50.4
"950","KS","Mitchell ",46667,2,96,23.8,9.1,48.8
"951","KS","Montgomery ",39669,6.3,80.1,17.9,55.1,50.7
"952","KS","Morris ",47445,4.4,92.5,17.4,8.5,50.5
"953","KS","Morton ",46607,21.1,73.3,17.5,4.4,49.2
"954","KS","Nemaha ",47122,1.7,95.7,19.5,14.2,49.3
"955","KS","Neosho ",42071,5.2,90.3,16.2,28.9,50.3
"956","KS","Ness ",48800,9.8,88.1,19,2.9,50.8
"957","KS","Norton ",46029,5.3,89.1,15.4,6.5,44.4
"958","KS","Osage ",50205,2.7,94.1,20.6,23.1,50
"959","KS","Osborne ",37925,1.8,95.9,18,4.3,49.6
"960","KS","Ottawa ",58396,3.1,94.1,21,8.5,47.9
"961","KS","Pawnee ",44078,7.8,84.7,22.9,9.2,44.4
"962","KS","Phillips ",43059,3,94.4,18.3,6.4,50.7
"963","KS","Pottawatomie ",56854,5.2,89.7,29.3,25.7,50.2
"964","KS","Pratt ",46035,6.8,88.9,23.4,13.1,50.1
"965","KS","Rawlins ",43482,4.8,93.3,23.3,2.4,48.8
"966","KS","Reno ",43798,9,84.8,19.8,51.4,49.6
"967","KS","Republic ",39572,1.5,96.4,19.8,6.9,51
"968","KS","Rice ",45336,11.1,84.1,20.9,13.9,49.8
"969","KS","Riley ",43962,8.1,77.1,45,116.6,46.6
"970","KS","Rooks ",42449,2.5,95.1,20.9,5.8,50.9
"971","KS","Rush ",42610,3.3,94.2,19.4,4.6,50.4
"972","KS","Russell ",37111,2.5,93.1,21.8,7.9,49.9
"973","KS","Saline ",47215,10.9,80.3,23.9,77.2,50.3
"974","KS","Scott ",50605,17.5,80.4,23.4,6.9,49.5
"975","KS","Sedgwick ",49865,13.9,68.9,28.7,499.6,50.4
"976","KS","Seward ",50185,59.1,32.9,12.6,35.9,48.5
"977","KS","Shawnee ",48451,11.6,74.8,28.6,327.1,51.5
"978","KS","Sheridan ",48674,3.8,94.6,22.4,2.9,48.8
"979","KS","Sherman ",38634,12.2,84,15.7,5.7,50
"980","KS","Smith ",45556,1.7,95.5,16.7,4.3,50.1
"981","KS","Stafford ",43292,13.1,84,19.1,5.6,49.1
"982","KS","Stanton ",46382,36.2,60.9,18.5,3.3,49.7
"983","KS","Stevens ",54494,34.9,62.3,17.6,7.9,50
"984","KS","Sumner ",47894,5.2,90.1,17.8,20.4,50.1
"985","KS","Thomas ",48187,5.4,91.4,27.9,7.4,50.8
"986","KS","Trego ",45714,2,95.6,21.5,3.4,50.6
"987","KS","Wabaunsee ",54694,3.4,93.2,20.6,8.9,49.3
"988","KS","Wallace ",47454,6.7,91.2,23.5,1.6,50.8
"989","KS","Washington ",42515,3.4,94.4,16.1,6.5,49.6
"990","KS","Wichita ",53018,28.4,69.9,16.6,3.1,48.2
"991","KS","Wilson ",38917,2.8,92.3,13,16.5,50.6
"992","KS","Woodson ",33839,2.7,93.6,18.2,6.6,50.4
"993","KS","Wyandotte ",39402,27.3,42.5,15.5,1039,50.7
"994","KY","Adair ",32524,1.9,93.5,13.9,46,50.6
"995","KY","Allen ",40008,1.9,95.4,12.7,58,50.6
"996","KY","Anderson ",52646,1.5,94.2,20.4,106.1,51.1
"997","KY","Ballard ",44588,1.3,93.2,13.1,33.4,50.7
"998","KY","Barren ",38873,3,90.8,14.7,86.5,51.5
"999","KY","Bath ",30797,1.3,95.7,12,41.6,50.5
"1000","KY","Bell ",26228,1,94.4,10.8,79.9,51.3
"1001","KY","Boone ",67225,4,88.5,30.4,482.3,50.4
"1002","KY","Bourbon ",40933,6.9,85,15.8,69,51.2
"1003","KY","Boyd ",40379,1.6,93.3,16.3,309.9,50.3
"1004","KY","Boyle ",41473,3,86.3,22.8,157.8,50
"1005","KY","Bracken ",39196,1.6,96.3,14.2,41.3,50.2
"1006","KY","Breathitt ",24045,0.8,97.2,9.8,28.2,50
"1007","KY","Breckinridge ",38907,1.3,94.7,9.4,35.4,50
"1008","KY","Bullitt ",54836,1.7,95.2,12.7,250.2,50.5
"1009","KY","Butler ",35430,4,94,8.2,29.8,50.6
"1010","KY","Caldwell ",37127,1.5,91.1,16.8,37.7,51.6
"1011","KY","Calloway ",39677,2.6,89.4,27.7,96.6,51.9
"1012","KY","Campbell ",54306,1.8,92.4,28.5,597,50.9
"1013","KY","Carlisle ",39049,2.4,94,15.5,26.9,51.2
"1014","KY","Carroll ",40160,7,88.8,9.5,84.1,50
"1015","KY","Carter ",36406,1.2,96.8,10.4,67.7,50.7
"1016","KY","Casey ",29934,2.9,95.1,8.4,35.9,51.3
"1017","KY","Christian ",38904,7.6,66.8,15.1,103.1,47.3
"1018","KY","Clark ",45853,2.8,90.3,19.4,141.1,51.5
"1019","KY","Clay ",21883,2,92.6,9,46.3,47
"1020","KY","Clinton ",27100,2.8,95.1,7,52.1,50.3
"1021","KY","Crittenden ",34261,0.9,96.5,11.4,25.9,49.5
"1022","KY","Cumberland ",31593,1.1,94.5,13.9,22.5,51.2
"1023","KY","Daviess ",46555,2.8,89.5,18.8,210.9,51.5
"1024","KY","Edmonson ",37646,1,95.8,9.8,40.2,49.8
"1025","KY","Elliott ",24246,1,94.6,7.7,33.5,43.5
"1026","KY","Estill ",29184,0.9,97.9,8.3,58,50.7
"1027","KY","Fayette ",48398,6.9,72.3,40.1,1042.8,50.9
"1028","KY","Fleming ",32495,1.3,96,12.8,41.2,50.8
"1029","KY","Floyd ",30476,0.7,97.3,12.8,100.3,51.2
"1030","KY","Franklin ",46071,3,82,26.8,237.2,51.8
"1031","KY","Fulton ",33582,1.5,71.3,13.1,33.2,50.6
"1032","KY","Gallatin ",43793,5.1,91.3,8.8,84.8,49.5
"1033","KY","Garrard ",44652,2.3,94.1,15.2,73.5,50.8
"1034","KY","Grant ",46159,2.5,94.5,10.9,95.6,50.1
"1035","KY","Graves ",38394,6,87,16.9,67.3,50.9
"1036","KY","Grayson ",32399,1.4,95.9,9.5,51.8,49.7
"1037","KY","Green ",34406,1.4,94.7,12,39.4,50.5
"1038","KY","Greenup ",44060,1.1,96.2,15.7,107.2,51.5
"1039","KY","Hancock ",51189,1.4,95.9,11.5,45.6,48.8
"1040","KY","Hardin ",48687,5.7,76.2,20.8,169.3,50.1
"1041","KY","Harlan ",25906,0.8,95.1,10.6,62.9,51.3
"1042","KY","Harrison ",36048,2.1,93.7,14.2,61.5,51
"1043","KY","Hart ",33408,1.7,91.8,8.8,44.2,50.6
"1044","KY","Henderson ",41940,2.3,87.5,16.4,105.9,51.5
"1045","KY","Henry ",46016,3.2,91.7,12.8,53.9,50.6
"1046","KY","Hickman ",34029,1.2,87.6,10.3,20.2,52.6
"1047","KY","Hopkins ",40891,1.8,88.9,14.2,86.6,51.2
"1048","KY","Jackson ",26156,0.7,98.1,8.2,39.1,50
"1049","KY","Jefferson ",46959,4.8,69.3,30.4,1948.1,51.8
"1050","KY","Jessamine ",49024,2.9,90.5,27.4,282.3,51.4
"1051","KY","Johnson ",34090,0.7,97.5,10.2,89.2,50.8
"1052","KY","Kenton ",54270,2.9,89.2,29.1,996.7,50.6
"1053","KY","Knott ",33889,0.8,97.5,13,46.5,50.3
"1054","KY","Knox ",24038,1.1,96.1,10.1,82.5,51.5
"1055","KY","Larue ",39753,3.1,91.7,11.1,54.3,50.5
"1056","KY","Laurel ",36570,1.4,96,12.6,135.6,51
"1057","KY","Lawrence ",33525,0.7,97.7,10.8,38.2,50.1
"1058","KY","Lee ",22920,1.1,95,5.6,37.8,44.6
"1059","KY","Leslie ",29293,0.4,98.1,7.3,28.2,50.5
"1060","KY","Letcher ",31200,0.7,97.8,11.5,72.6,50.6
"1061","KY","Lewis ",28388,0.7,97.9,10.6,28.7,50.2
"1062","KY","Lincoln ",33651,1.5,94.4,9.6,74.1,51
"1063","KY","Livingston ",40313,1.5,96.1,11.3,30.4,50.9
"1064","KY","Logan ",36590,2.8,88.4,13.3,48.6,51.1
"1065","KY","Lyon ",40112,1.6,91,13.3,38.9,44.4
"1066","KY","McCracken ",44898,2.4,83.6,22.5,263.6,51.9
"1067","KY","McCreary ",20972,2.4,89.9,7.3,42.9,45.6
"1068","KY","McLean ",38833,1.3,96.6,10.3,37.8,50.2
"1069","KY","Madison ",42312,2.3,90,28,189.6,51.5
"1070","KY","Magoffin ",26877,0.8,97.9,8.9,43.2,49.8
"1071","KY","Marion ",38719,2.4,86.8,12.5,57.8,48.2
"1072","KY","Marshall ",43907,1.4,96.8,15.3,104.4,51.1
"1073","KY","Martin ",26261,3.2,88.5,7.5,56.3,44.2
"1074","KY","Mason ",41137,1.5,89.5,14.8,72.8,51.6
"1075","KY","Meade ",46756,4.3,88.3,12.7,93.6,49.9
"1076","KY","Menifee ",29108,1,94.8,12.1,31,49.5
"1077","KY","Mercer ",45396,2.5,91.3,18.9,85.7,51
"1078","KY","Metcalfe ",31750,1.6,95.3,8.6,34.9,50.3
"1079","KY","Monroe ",29808,3.1,93.4,12,33.3,50.2
"1080","KY","Montgomery ",37312,2.6,93.1,14.6,134.3,51.3
"1081","KY","Morgan ",30658,0.8,93.5,11.5,36.5,43.8
"1082","KY","Muhlenberg ",38105,1.4,92.2,11.3,67.4,49.2
"1083","KY","Nelson ",43833,2.1,90.6,16.6,104,50.8
"1084","KY","Nicholas ",43081,2.1,96.1,13.7,36.6,50.7
"1085","KY","Ohio ",40830,3.3,94.5,8,40.6,50.1
"1086","KY","Oldham ",83391,3.8,88.7,40.1,322.2,47.5
"1087","KY","Owen ",41009,2.4,95.3,15.9,30.9,50.1
"1088","KY","Owsley ",19986,1,97.4,12.4,24.1,51.2
"1089","KY","Pendleton ",45480,1.2,96.9,12.4,53.7,49.6
"1090","KY","Perry ",33528,0.8,95.7,13.5,84.5,50.5
"1091","KY","Pike ",32961,0.8,97.1,12.5,82.6,51
"1092","KY","Powell ",26839,1.3,96.8,11.9,70.5,50.4
"1093","KY","Pulaski ",34092,2.4,94.6,15.1,95.8,51.2
"1094","KY","Robertson ",31786,1,97.5,12.5,22.8,48
"1095","KY","Rockcastle ",30674,0.8,97.6,10.9,53.9,51
"1096","KY","Rowan ",35236,1.5,94.6,23.8,83.4,51.3
"1097","KY","Russell ",29721,3.6,94.1,11.9,69.2,51.1
"1098","KY","Scott ",61893,4.2,87.3,27.9,167.4,50.8
"1099","KY","Shelby ",57298,8.7,81,23.8,110.8,51.5
"1100","KY","Simpson ",39546,2,85.3,14.8,74,51.1
"1101","KY","Spencer ",65209,1.8,94.6,16.6,91.4,49.6
"1102","KY","Taylor ",36384,2.2,90,15.1,92,51.5
"1103","KY","Todd ",41541,4.1,85.9,9.4,33.3,50.3
"1104","KY","Trigg ",45629,1.7,88.3,18.4,32.5,51.1
"1105","KY","Trimble ",49718,3.5,94,16.1,58.1,49.5
"1106","KY","Union ",39125,1.8,82.7,11.4,43.8,48.1
"1107","KY","Warren ",44135,5.1,80.3,28.4,210.1,51.1
"1108","KY","Washington ",40845,3.8,88,15.6,39.4,51.2
"1109","KY","Wayne ",29497,2.7,94,9.8,45.4,50.5
"1110","KY","Webster ",41415,4.7,89.1,8.4,41,50
"1111","KY","Whitley ",29769,1,96.1,13.4,81.4,50.9
"1112","KY","Wolfe ",22574,0.7,97.8,11.8,33.1,50.5
"1113","KY","Woodford ",57580,6.6,86.3,31.6,132.1,52.1
"1114","LA","Acadia Parish",37587,2.2,77.8,10.2,94.3,51.5
"1115","LA","Allen Parish",38429,2.1,70.2,11.1,33.8,43.3
"1116","LA","Ascension Parish",69070,5.2,69.5,24.9,369.7,50.7
"1117","LA","Assumption Parish",46116,2.6,66,9.7,69.2,51.1
"1118","LA","Avoyelles Parish",33942,1.8,65.6,9.7,50.5,49.9
"1119","LA","Beauregard Parish",46385,3.6,79.4,15,30.8,48.7
"1120","LA","Bienville Parish",31543,1.6,54.9,11.1,17.7,52.2
"1121","LA","Bossier Parish",53248,6.4,67.9,25.2,139.3,50.4
"1122","LA","Caddo Parish",41053,2.8,46.4,22.7,290.2,52.6
"1123","LA","Calcasieu Parish",43499,3.1,68.6,19.9,181.2,51.2
"1124","LA","Caldwell Parish",39385,2.9,78.8,8.2,19.1,48.8
"1125","LA","Cameron Parish",64574,3.7,90.6,15.4,5.3,50
"1126","LA","Catahoula Parish",36165,1.3,65.2,11.2,14.7,46.9
"1127","LA","Claiborne Parish",32996,1.4,45.6,12.5,22.8,43.4
"1128","LA","Concordia Parish",29022,1.2,56.9,11.3,29.9,49.2
"1129","LA","De Soto Parish",39162,2.8,57.2,11.3,30.4,51.7
"1130","LA","East Baton Rouge Parish",48506,3.9,45.7,34.2,966.6,52.1
"1131","LA","East Carroll Parish",25321,2.3,28.9,9.2,18.4,45.8
"1132","LA","East Feliciana Parish",47225,1.4,52.7,13,44.7,46.4
"1133","LA","Evangeline Parish",31832,2.5,67.7,11.4,51.3,49.3
"1134","LA","Franklin Parish",31214,1.4,65.5,11.6,33.2,51.4
"1135","LA","Grant Parish",39654,4.7,76.6,10.2,34.7,43.9
"1136","LA","Iberia Parish",44262,3.9,59.5,13.6,127.6,51
"1137","LA","Iberville Parish",45368,2.6,47.6,12.8,54,48.8
"1138","LA","Jackson Parish",37388,1.5,67.7,13.8,28.6,49
"1139","LA","Jefferson Parish",48261,13.8,54.1,23.6,1463.1,51.5
"1140","LA","Jefferson Davis Parish",41622,2.3,77.9,13,48.5,51.1
"1141","LA","Lafayette Parish",51462,4.5,66.4,28.3,824.6,51.1
"1142","LA","Lafourche Parish",50572,4.6,76.7,14.8,90.2,50.7
"1143","LA","La Salle Parish",42528,2.5,82.9,12.9,23.8,48.1
"1144","LA","Lincoln Parish",35769,2.7,53,34.4,99.1,51.3
"1145","LA","Livingston Parish",56811,3.5,88.3,17.5,197.5,50.6
"1146","LA","Madison Parish",25498,1.7,35,11.2,19.4,50.4
"1147","LA","Morehouse Parish",28585,1.2,49.6,12.9,35.2,51.8
"1148","LA","Natchitoches Parish",33953,2.2,53.3,21.6,31.6,52.3
"1149","LA","Orleans Parish",37146,5.5,31.2,33.7,2029.4,52.2
"1150","LA","Ouachita Parish",38955,2.2,58.5,22.9,251.8,52.1
"1151","LA","Plaquemines Parish",55138,6.4,66.1,15.3,29.5,50.1
"1152","LA","Pointe Coupee Parish",45363,2.5,60.6,14.3,40.9,52
"1153","LA","Rapides Parish",40930,2.8,61.6,18.3,99.9,51.7
"1154","LA","Red River Parish",39346,1.6,57.6,11.9,23.4,51.6
"1155","LA","Richland Parish",36835,2.1,61,13.2,37.1,51.7
"1156","LA","Sabine Parish",35159,3.8,68.2,13,28,50.5
"1157","LA","St. Bernard Parish",41353,9.6,64,12,95.1,50.5
"1158","LA","St. Charles Parish",58758,5.9,65.6,19.7,189.1,50.8
"1159","LA","St. Helena Parish",33143,1.6,44.4,10.3,27.4,51.5
"1160","LA","St. James Parish",55443,1.7,48.2,13,91.5,51.5
"1161","LA","St. John the Baptist Parish",50635,5.4,37.6,14.5,215.5,51.3
"1162","LA","St. Landry Parish",35503,1.9,55.1,13.2,90.3,51.9
"1163","LA","St. Martin Parish",42186,2.5,64.8,13.3,70.7,50.6
"1164","LA","St. Mary Parish",41571,6.4,56.5,10.8,98.4,50.6
"1165","LA","St. Tammany Parish",60799,5.4,79.5,30.1,276.4,51.4
"1166","LA","Tangipahoa Parish",40654,3.9,63.9,19.4,153,51.5
"1167","LA","Tensas Parish",27543,1.9,42.3,10.3,8.7,51.5
"1168","LA","Terrebonne Parish",49960,4.9,67.6,13.4,90.8,50.6
"1169","LA","Union Parish",35828,4.4,68.7,13.1,25.9,50.6
"1170","LA","Vermilion Parish",44665,3.2,78.3,12.6,49.4,51.4
"1171","LA","Vernon Parish",46572,9.6,69.8,18.8,39.4,47.2
"1172","LA","Washington Parish",31778,2.1,65.9,11.2,70.4,50.6
"1173","LA","Webster Parish",35071,1.8,62.4,13.6,69.5,51.2
"1174","LA","West Baton Rouge Parish",50926,2.7,57.3,18,123.6,51.1
"1175","LA","West Carroll Parish",33848,3.1,79.2,9.5,32.3,49.8
"1176","LA","West Feliciana Parish",61616,1.6,51.7,18.8,38.8,34.1
"1177","LA","Winn Parish",34322,1.9,65.2,11.3,16.1,46.7
"1178","ME","Androscoggin ",44921,1.7,91.4,18.8,230.2,50.9
"1179","ME","Aroostook ",37855,1.1,94.5,16.7,10.8,50.7
"1180","ME","Cumberland ",57461,1.9,91,41,337.2,51.4
"1181","ME","Franklin ",41626,1.2,95.9,23.7,18.1,51
"1182","ME","Hancock ",47460,1.3,95.2,33,34.3,51.2
"1183","ME","Kennebec ",46808,1.5,94.9,24.6,140.8,51.3
"1184","ME","Knox ",49755,1.2,95.9,30.4,108.8,50.6
"1185","ME","Lincoln ",50181,1,96.3,33.1,75.6,51
"1186","ME","Oxford ",40674,1.2,95.8,18.9,27.8,50.4
"1187","ME","Penobscot ",43734,1.3,94.1,23.8,45.3,50.6
"1188","ME","Piscataquis ",36646,1.4,95.6,16.4,4.4,50.2
"1189","ME","Sagadahoc ",56733,1.5,94.9,32.3,139.1,51.5
"1190","ME","Somerset ",38642,1,96,15.4,13.3,50.4
"1191","ME","Waldo ",42221,1.1,96,28.2,53.1,51
"1192","ME","Washington ",37236,1.8,90.3,20,12.8,50.7
"1193","ME","York ",57348,1.7,94.8,28.8,199,51.3
"1194","MD","Allegany ",39293,1.6,87.4,16.8,177,47.8
"1195","MD","Anne Arundel ",87430,7.2,70.2,37.1,1295.9,50.5
"1196","MD","Baltimore ",66486,5,59.6,35.7,1345.5,52.7
"1197","MD","Calvert ",95477,3.5,79,30,416.3,50.6
"1198","MD","Caroline ",58632,6.4,77,15,103.5,51.2
"1199","MD","Carroll ",84790,3,90.2,32.7,373.4,50.6
