"","state_abbreviation","county","income","hispanic","white","college","density","female"
"171","AR","Pulaski ",46013,6,54,31.2,503.8,52
"172","AR","Randolph ",34418,1.9,95.2,12.3,27.6,50.9
"173","AR","St. Francis ",30873,4.4,41.1,11.7,44.5,45.1
"174","AR","Saline ",55348,4.2,86.6,23.4,148,51
"175","AR","Scott ",37448,7.6,84.3,11.6,12.6,49.6
"176","AR","Searcy ",30779,2.1,93.7,12,12.3,49.6
"177","AR","Sebastian ",40471,13.4,71.1,19.2,236.4,51
"178","AR","Sevier ",35153,32.7,58.6,8.6,30.2,50.3
"179","AR","Sharp ",30861,2.1,94,11,28.6,50.6
"180","AR","Stone ",29832,1.8,95,14.2,20.4,50.4
"181","AR","Union ",37435,3.6,61.5,16.1,40.1,51.4
"182","AR","Van Buren ",32517,3.1,93.5,13.6,24.4,50.3
"183","AR","Washington ",41248,16.2,72.2,28.7,215.6,49.9
"184","AR","White ",42487,4.2,88.4,18.1,74.5,51.1
"185","AR","Woodruff ",28259,1.5,69.5,10.1,12.4,52
"186","AR","Yell ",35535,18.9,76.1,9.4,23.9,50.2
"187","CA","Alameda ",72112,22.7,32.8,41.8,2043.6,51
"188","CA","Alpine ",58636,9.6,64.7,31.2,1.6,48
"189","CA","Amador ",53684,13,79.6,19.3,64.1,46.9
"190","CA","Butte ",43752,15.5,73.5,24.4,134.4,50.5
"191","CA","Calaveras ",55295,11.5,82.1,21.2,44.7,50
"192","CA","Colusa ",52158,58.1,36.7,13.8,18.6,48.6
"193","CA","Contra Costa ",78756,25.2,45.6,39,1465.2,51.3
"194","CA","Del Norte ",37909,19,63.3,14,28.4,45.2
"195","CA","El Dorado ",69297,12.7,78.7,32,106,49.9
"196","CA","Fresno ",45563,51.9,30.9,19.6,156.2,50.1
"197","CA","Glenn ",43023,40.4,53,14.6,21.4,49.6
"198","CA","Humboldt ",41426,10.8,75.5,27.5,37.7,50
"199","CA","Imperial ",41807,82.3,12.3,13.3,41.8,48.9
"200","CA","Inyo ",44796,20.9,64.3,21.4,1.8,49.9
"201","CA","Kern ",48552,51.5,36.2,15,103.3,48.7
"202","CA","Kings ",48133,53.2,33.7,12.9,110.1,44.8
"203","CA","Lake ",36548,19.1,72.1,16.2,51.5,50
"204","CA","Lassen ",53107,18.5,66,13.1,7.7,36.3
"205","CA","Los Angeles ",55909,48.4,26.8,29.7,2419.6,50.7
"206","CA","Madera ",45625,56.1,35.8,13.6,70.6,51.9
"207","CA","Marin ",90839,16,72.2,54.6,485.1,51.2
"208","CA","Mariposa ",49820,10.3,81.4,21.3,12.6,49.2
"209","CA","Mendocino ",43469,24.1,66.2,22,25.1,50.2
"210","CA","Merced ",42591,57.5,29.5,12.6,132.2,49.5
"211","CA","Modoc ",36212,14.8,77.6,18.7,2.5,49.5
"212","CA","Mono ",61757,27.9,65.8,29.8,4.7,46.7
"213","CA","Monterey ",59168,57.4,31.2,23,126.5,49
"214","CA","Napa ",70443,33.7,53.7,31.3,182.4,50.3
"215","CA","Nevada ",57353,9.2,85.6,32.3,103.1,50.8
"216","CA","Orange ",75422,34.3,42,36.8,3807.7,50.6
"217","CA","Placer ",72725,13.5,74.2,35.1,247.6,51.2
"218","CA","Plumas ",45794,8.4,84,22.6,7.8,49.8
"219","CA","Riverside ",56529,47.4,37.4,20.5,303.8,50.3
"220","CA","Sacramento ",55064,22.5,46.6,28,1470.8,51.1
"221","CA","San Benito ",66237,58.3,36,18.2,39.8,49.8
"222","CA","San Bernardino ",54090,51.7,30.6,18.7,101.5,50.2
"223","CA","San Diego ",62962,33.2,46.7,34.6,735.8,49.8
"224","CA","San Francisco ",75604,15.3,41.2,52.4,17179.1,49.1
"225","CA","San Joaquin ",53380,40.5,34,18.1,492.6,50.2
"226","CA","San Luis Obispo ",58697,22,69.5,31.5,81.7,49.1
"227","CA","San Mateo ",88202,25.3,40.4,44.4,1602.2,50.8
"228","CA","Santa Barbara ",62779,44.4,45.9,31.3,155,49.9
"229","CA","Santa Clara ",91702,26.6,33.3,46.5,1381,49.7
"230","CA","Santa Cruz ",66519,33.2,58.2,37,589.4,50.4
"231","CA","Shasta ",44651,9.4,80.9,18.8,46.9,51
"232","CA","Sierra ",39009,9.7,86.2,18.5,3.4,50
"233","CA","Siskiyou ",37709,11.9,77.5,23.9,7.2,50.3
"234","CA","Solano ",67177,25.6,39.6,24.3,503,50.3
"235","CA","Sonoma ",63356,26.1,64.6,32.2,307.1,51
"236","CA","Stanislaus ",49297,44.1,44.3,16.4,344.2,50.5
"237","CA","Sutter ",50408,29.9,47.8,18.7,157.3,50.3
"238","CA","Tehama ",41924,24.1,69.4,13.5,21.5,50.2
"239","CA","Trinity ",36890,7.3,82.6,21.3,4.3,49
"240","CA","Tulare ",42708,62.9,30.3,13.3,91.7,49.9
"241","CA","Tuolumne ",48426,11.5,81.1,19.5,24.9,47.8
"242","CA","Ventura ",76544,42,46.6,31.4,446.7,50.5
